1000,8,0.131999999,0.0839999989,0.0879999995,0.0900000036,0.0780000016,0.09440000052
1000,12,0.0820000023,0.0869999975,0.0829999968,0.0900000036,0.0860000029,0.08560000062
1000,24,0.0979999974,0.0909999982,0.0949999988,0.0909999982,0.0850000009,0.0919999987
1000,48,0.105999999,0.107000001,0.107000001,0.0989999995,0.104000002,0.1046000005
1000,96,0.134000003,0.131999999,0.138999999,0.136000007,0.138999999,0.1360000014
10000,8,0.787,0.757000029,0.749000013,0.760999978,0.795000017,0.7698000074
10000,12,0.788999975,0.779999971,0.777999997,0.773999989,0.772000015,0.7785999894
10000,24,0.84799999,0.842000008,0.86500001,0.847000003,0.866999984,0.853799999
10000,48,1.00100005,0.987999976,1.00800002,1.005,1.01400006,1.0032000212
10000,96,1.34899998,1.31500006,1.35000002,1.34300005,1.32000005,1.335400032
100000,8,7.90100002,7.96600008,7.58400011,7.63800001,7.78000021,7.773800086
100000,12,7.66699982,7.8119998,7.68599987,7.58300018,7.96500015,7.742599964
100000,24,8.38399982,8.34899998,8.4119997,8.41600037,8.42800045,8.397800064
100000,48,9.89700031,9.80099964,9.77400017,9.85999966,9.67099953,9.800599862
100000,96,13.3760004,13.2969999,14.1619997,13.4359999,13.2580004,13.50580006
